#TYPE Selected.System.String
"HostName","FQDN","Status","IPv4","IPv6","MAC","Ports","Services","OS","Script"
"<no-hostname>","<no-fullname>","up","10.58.19.80","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.84","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.90","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.91","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.92","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.93","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <93%-accuracy>
scanner HP embedded <88%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.94","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.95","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.96","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.97","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.98","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.99","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.100","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.101","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.102","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <94%-accuracy>
scanner HP embedded <88%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.103","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.104","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.105","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.106","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.107","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.108","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.109","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.110","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.111","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.112","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.113","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
"<no-hostname>","<no-fullname>","up","10.58.19.114","<no-ipv6>","<no-mac>","open:tcp:22:ssh
open:tcp:80:http","<no-services>","HP 4320d Digital Sender scanner <88%-accuracy>
VoIP phone Cisco embedded <97%-accuracy>
scanner HP embedded <88%-accuracy>
ATM NCR embedded <85%-accuracy>","<no-script>"
